"";"ano";"Estado";"Macrorregiao";"agressoes_e_confrontos";"MVII";"MCMD";"MG";"MCE";"populacao";"homicidios_Mapa_da_Violencia";"homicidios_ocultos_Mapa_da_Violencia";"MCE_total";"prop_hopmmd";"prop_hopmvii";"prop_MVII_ocultos_CMD";"homicidios_ocultos_CMD_media";"homicidios_ocultos_MVII_prop_media";"homicidios_ocultos_MVII_rand_media";"homicidios_intencionais_prop_media";"homicidios_intencionais_rand_media";"homicidios_intencionais_prop_sd";"homicidios_intencionais_rand_sd";"homicidios_intencionais_prop_li";"homicidios_intencionais_prop_ls";"homicidios_intencionais_rand_li";"homicidios_intencionais_rand_ls";"diferenca_metodos";"tx_agressoes";"tx_homicid_ajprop";"tx_homicid_ajrand";"mortes_violentas"
"335";1991;"Espírito Santo";"Sudeste";968;16;3183;14700;1355,04666666667;2638835;NA;NA;2331;0,084129189095329;0,41839378238342;0,00147595068588297;267,393;6,68866666666667;7,95333333333333;1242;1243;87,7887309642701;87,832313102661;1095;1438;1097;1439;-1;36,6828543656576;47,0662242997383;47,1041198104467;2598,04666666667
"336";1992;"Espírito Santo";"Sudeste";839;31;3268;14768;1154,57433333333;2692506;NA;NA;2009;0,0730371272063299;0,424456796361799;0,00278236675071733;240,629666666667;13,2386666666667;15,4256666666667;1093;1095;87,5512615844221;87,8738273970281;952;1294;954;1295;-2;31,1605619448945;40,5941528078303;40,6684330508456;2249,57433333333
"337";1993;"Espírito Santo";"Sudeste";1098;60;3236;16279;1383,35166666667;2745874;NA;NA;2511;0,0842532965348053;0,448205546492659;0,00467647960748237;275,125;26,7913333333333;29,6483333333333;1400;1403;90,5884545030545;90,7497316441581;1247;1596;1250;1598;-3;39,987268170353;50,9855878310512;51,0948426621178;2786,35166666667
"338";1994;"Espírito Santo";"Sudeste";1166;63;3166;15998;1390,32966666667;2799388;NA;NA;2588;0,0909374269461544;0,461995249406176;0,00498714252318242;286,092666666667;29,0676666666667;31,6703333333333;1481;1484;92,1959253769254;92,5201283814423;1331;1690;1328;1694;-3;41,6519610714913;52,9044205376318;53,0115868182617;2874,32966666667
"339";1995;"Espírito Santo";"Sudeste";1154;68;3180;15747;1403,093;2852872;NA;NA;2591;0,0919000636537237;0,457606973058637;0,00549013367281986;293,960666666667;31,1593333333333;33,907;1479;1482;93,4118418121078;94,1235530334151;1325;1679;1327;1688;-3;40,4504653556136;51,8424941602708;51,9476513492368;2885,093
"340";1996;"Espírito Santo";"Sudeste";1191;103;3126;16748;1541,65233333333;2906448;NA;NA;2785;0,0874990824341188;0,444278792396571;0,00763414813183587;277,156333333333;45,5956666666667;52,3476666666667;1514;1521;90,4456040857311;91,6794725800939;1363;1709;1369;1717;-7;40,9778533797955;52,0910747414026;52,3319185480009;3062,65233333333
"341";1997;"Espírito Santo";"Sudeste";1416;56;2732;15851;1440,012;2960208;NA;NA;2884;0,108003048780488;0,500883704489219;0,00434451219512195;295,399666666667;28,047;27,988;1739;1739;85,5426073258911;85,8364608653777;1594;1930;1593;1928;0;47,8344764962462;58,7458719117035;58,7458719117035;3179,012
"342";1998;"Espírito Santo";"Sudeste";1675;84;3228;17588;1454,981;3014310;NA;NA;3172;0,116704964835318;0,54257041113629;0,00591880788245944;379,108;45,4383333333333;42,019;2100;2096;105,521685584521;106,017552531715;1925;2337;1918;2335;4;55,5682726726846;69,6676851418733;69,5349847892221;3550,981
"343";1999;"Espírito Santo";"Sudeste";1524;42;3190;17329;1325,043;3069052;NA;NA;2870;0,107850070721358;0,539059738423471;0,00304101838755304;343,442;22,5306666666667;20,957;1890;1888;99,7985997215944;99,971885672798;1721;2106;1717;2105;2;49,6570276424121;61,5825342809441;61,5173675780013;3213,043
"344";2000;"Espírito Santo";"Sudeste";1435;39;2976;17632;1481,36933333333;3181143;NA;NA;2936;0,0979736644606673;0,495514147688061;0,00272907143344477;292,422;19,2866666666667;19,6306666666667;1747;1747;89,3899023553738;89,5333157606667;1599;1944;1597;1948;0;45,1095722512317;54,9173677511511;54,9173677511511;3228,36933333333
"345";2001;"Espírito Santo";"Sudeste";1452;46;2706;17687;1496,952;3229643;NA;NA;2972;0,0969830463222534;0,496412709258627;0,00313709785075424;262,639666666667;22,7226666666667;23,048;1737;1738;82,4819220822297;82,6722425068773;1601;1922;1599;1922;-1;44,9585294721429;53,7830342239065;53,8139973984741;3234,952
"346";2002;"Espírito Santo";"Sudeste";1644;36;1856;17618;1565,80166666667;3277799;NA;NA;3228;0,104358307428789;0,515189476980896;0,00234726892089069;195,341;18,559;18,1983333333333;1858;1858;58,095740277116;58,2796187147909;1761;1986;1759;1985;0;50,1556074670839;56,6843787553782;56,6843787553782;3423,80166666667
"347";2003;"Espírito Santo";"Sudeste";1629;46;1029;18404;1539,18033333333;3325612;NA;NA;3191;0,0938075506445672;0,518118245390973;0,0027048802946593;96,603;23,8423333333333;22,8196666666667;1749;1748;31,9313985959638;32,6516778064581;1695;1819;1694;1819;1;48,9834652990186;52,5918237004197;52,5617540470746;3287,18033333333
"348";2004;"Espírito Santo";"Sudeste";1619;47;747;18630;1630,63066666667;3373196;NA;NA;3273;0,090583762021919;0,502014254725751;0,00268396331916797;67,7656666666667;23,5973333333333;23,3693333333333;1710;1710;22,7300560818305;23,6393255876321;1670;1760;1669;1760;0;47,9960251346201;50,6937634219891;50,6937634219891;3340,63066666667
"349";2005;"Espírito Santo";"Sudeste";1602;57;708;18676;1686,50466666667;3420621;NA;NA;3317;0,0892091936112193;0,491567003986507;0,00322778117869664;63,2526666666667;28,1346666666667;28,4953333333333;1693;1694;21,5904922595007;23,2660754337446;1656;1742;1653;1745;-1;46,8336012671383;49,4939369196412;49,523171377361;3380,50466666667
"350";2006;"Espírito Santo";"Sudeste";1762;88;557;19665;1768,49966666667;3466704;NA;NA;3574;0,0922601915327856;0,505592199598509;0,00465749123449683;52,5426666666667;44,811;43,5003333333333;1859;1858;18,8750454922984;22,8406884751023;1827;1900;1815;1906;1;50,8263757159538;53,6244225062192;53,5955766630206;3626,49966666667
"351";2007;"Espírito Santo";"Sudeste";1877;86;459;19641;1960,94;3511878;NA;NA;3881;0,0978991815670125;0,494731296101159;0,00453526559974978;44,8226666666667;42,4176666666667;43,06;1964;1965;16,4487515341205;20,4093053810658;1936;2001;1927;2007;-1;53,4471869466992;55,9244939602116;55,9529687534704;3925,94
"352";2008;"Espírito Santo";"Sudeste";1947;149;352;20447;1962,96366666667;3557343;NA;NA;3984;0,0969347133757962;0,507820646506778;0,00746417197452229;34,1486666666667;75,9143333333333;74,0363333333333;2057;2055;15,2085764597691;26,3045132529095;2029;2090;2007;2107;2;54,7318602676211;57,8240557629669;57,7678340266879;4017,96366666667
"353";2009;"Espírito Santo";"Sudeste";1985;128;245;20396;1881,37066666667;3602364;NA;NA;3930;0,0985510123064708;0,522219300552196;0,0064013497419611;24,424;67,1103333333333;63,6293333333333;2077;2073;12,2097712533955;21,8955618204093;2054;2102;2031;2116;4;55,1027047794171;57,6565832880853;57,5455450920562;3954,37066666667
"354";2010;"Espírito Santo";"Sudeste";1792;104;197;21205;2099,88133333333;3640888;NA;NA;3944;0,0853443762197154;0,466805519395991;0,00499785806083107;16,8133333333333;48,4263333333333;52,1186666666667;1857;1861;9,89977584305842;17,4884340191305;1839;1878;1828;1894;-4;49,2187620162993;51,0040407724709;51,113904080543;3960,88133333333
"355";2011;"Espírito Santo";"Sudeste";1672;135;222;21403;2064,992;3676063;NA;NA;3804;0,0789821546596167;0,455858310626703;0,00642054574638844;17,5763333333333;61,4366666666667;67,008;1751;1757;11,5737122223109;21,941331513039;1730;1775;1714;1799;-6;45,4834424763667;47,6324807273434;47,7956988223542;3821,992
"356";2012;"Espírito Santo";"Sudeste";1667;163;176;21616;2246,76066666667;3714258;1746;79;3995;0,0777948789701973;0,435168275502218;0,00764889697308894;13,924;71,0006666666667;81,2393333333333;1752;1762;11,7115346946443;26,3667667911564;1730;1775;1713;1812;-10;44,8811041128538;47,1695827268865;47,438815505008;4008,76066666667
"357";2013;"Espírito Santo";"Sudeste";1622;165;165;21651;2189,68;3753762;1757;135;3894;0,0755340438404617;0,435120643431635;0,0077256015265044;12,479;71,9263333333333;82,32;1706;1717;11,7419900215187;26,2882411521633;1684;1730;1667;1768;-11;43,2099850763048;45,4477401604044;45,7407795166556;3906,68
"358";2014;"Espírito Santo";"Sudeste";1609;189;148;22030;2217,856;3793919;1650;41;3922;0,0735730932687474;0,431173004820568;0,00868253895718137;10,8693333333333;81,363;95,144;1701;1715;12,451882227702;30,1010937924974;1678;1726;1659;1773;-14;42,4099723794841;44,8349055422638;45,2039171105129;3932,856
"359";2015;"Espírito Santo";"Sudeste";1450;223;154;22332;2076,91233333333;3834033;1524;74;3639;0,0654222462689932;0,424641498390401;0,010099643807205;10,227;94,4673333333333;112,087666666667;1555;1572;14,3194710204552;35,2048307990928;1527;1583;1507;1640;-17;37,8191841332612;40,5578147084284;41,001212039646;3648,91233333333
"360";2016;"Espírito Santo";"Sudeste";1270;240;156;22868;2042,44466666667;3870870;1374;104;3433;0,0559591423413904;0,397933625547902;0,0106106634966759;8,60933333333333;95,644;120,555333333333;1374;1399;14,8627315508267;37,674916739647;1346;1405;1328;1470;-25;32,8091617646679;35,4958962713809;36,1417459124176;3441,44466666667
"361";2017;"Espírito Santo";"Sudeste";1521;143;137;24112;2189,94733333333;3904551;1586;65;3782;0,0634801468134801;0,418131868131868;0,00600600600600601;8,62033333333333;59,742;71,0526666666667;1589;1601;10,3729253547731;22,2711638502889;1570;1610;1558;1645;-12;38,9545430447701;40,6961005247466;41,0034341976837;3790,94733333333
"362";2018;"Espírito Santo";"Sudeste";1165;261;100;23500;2113,04166666667;3937119;1296;131;3409;0,0498269304730567;0,37027627818355;0,0111961027306525;5,081;96,5586666666667;130,958333333333;1267;1301;15,1518212035435;39,9599973308864;1238;1297;1225;1378;-34;29,5901647880087;32,1808916621519;33,0444672868664;3414,04166666667
"363";2019;"Espírito Santo";"Sudeste";1043;266;143;24431;2125,66433333333;3970009;1441;398;3302;0,042982420025526;0,343760289759631;0,010992630408827;6,18566666666667;91,156;133,335666666667;1140;1183;14,971494440129;41,6458681944333;1112;1171;1104;1261;-43;26,2719807436205;28,715300141637;29,7984211118917;3308,66433333333
"364";2020;"Espírito Santo";"Sudeste";1229;315;279;29111;2077,962;4001467;1385;156;3464;0,042659452710436;0,39047619047619;0,0109596642735754;11,822;122,917333333333;157,038;1364;1398;18,8105289192417;48,0671878885917;1328;1401;1302;1489;-34;30,7137357374183;34,0874984099582;34,937186786746;3475,962
"365";2021;"Espírito Santo";"Sudeste";1253;202;182;32801;2390,08233333333;4027541;1346;93;3744;0,0384426732066217;0,35393734123624;0,00622317596566524;7,05066666666667;71,336;100,917666666667;1331;1361;12,5729809050401;31,331771263672;1308;1357;1301;1422;-30;31,1107944028379;33,0474599761989;33,7923313505685;3751,08233333333
"366";2022;"Espírito Santo";"Sudeste";1147;460;211;27992;2438,18033333333;4050913;1352;205;3816;0,041321719098697;0,34197199880846;0,0165934777913757;8,96633333333333;157,384333333333;230,819666666667;1313;1387;24,6962277978784;71,3237961597171;1267;1363;1251;1525;-74;28,3146046335727;32,4124462806286;34,2391949666655;3825,18033333333
"367";2023;"Espírito Santo";"Sudeste";1161;224;96;27315;2685,78133333333;4076068;NA;NA;3959;0,0426891991182954;0,311027837259101;0,00826598089639971;4,18833333333333;69,402;112,218666666667;1235;1277;12,4722769554336;34,1023020728644;1211;1259;1212;1342;-42;28,4833324664849;30,2988075763211;31,3292123683903;3962,78133333333
"368";2024;"Espírito Santo";"Sudeste";1064;172;50;28142;2873,55866666667;4102129;NA;NA;4024;0,037909799594205;0,276407993771087;0,00615811768056099;1,85866666666667;47,564;86,4413333333333;1113;1152;9,71525338175213;26,4210400461269;1095;1133;1102;1202;-39;25,9377508605897;27,132252544959;28,0829783753753;4025,55866666667
"369";1979;"Goiás";"Centro_Oeste";335;420;3034;14636;1328,114;3767960;NA;NA;1874;0,028958028096182;0,230927835051546;0,0362837197276566;91,8233333333333;96,3693333333333;210,886;523;638;55,0703470777572;82,3811653131649;438;650;489;803;-115;8,89075255575962;13,8801898109322;16,9322391957452;1966,114
"370";1980;"Goiás";"Centro_Oeste";449;613;3513;16361;1463,505;3109175;NA;NA;2217;0,0350221807144525;0,280373831775701;0,0477858199081641;131,956;172,040333333333;304,495;753;885;75,651001389446;115,287096577251;632;933;668;1122;-132;14,441129881721;24,2186432092114;28,4641424172007;2348,505
"371";1981;"Goiás";"Centro_Oeste";554;785;4696;18824;1588,133;3198706;NA;NA;2534;0,0392809116002548;0,317142857142857;0,0556302639960365;191,905;248,312;391,867;994;1138;100,761686916126;149,743588833709;828;1231;862;1440;-144;17,3195035742578;31,0750659798056;35,5768864034394;2726,133
"372";1982;"Goiás";"Centro_Oeste";557;897;5342;20096;1837,33166666667;3289848;NA;NA;2839;0,0378176889190105;0,287184765826042;0,0608607251779058;218,092;257,402;444,668333333333;1032;1220;114,860040514397;173,231342215732;853;1303;893;1577;-188;16,9308734020538;31,3692304325306;37,0837801624877;3057,33166666667
"373";1983;"Goiás";"Centro_Oeste";555;743;5201;19910;1802,50933333333;3381626;NA;NA;2729;0,0377974167233175;0,279818822345244;0,0505778382053025;207,832;208,979666666667;371,490666666667;972;1134;109,062488537646;156,971264500381;800;1225;854;1469;-162;16,4122229956831;28,7435689221694;33,534163742531;2936,50933333333
"374";1984;"Goiás";"Centro_Oeste";499;818;4981;20124;1971,46933333333;3475076;NA;NA;2880;0,0330163761225568;0,242365487154629;0,054080824088748;175,239;198,732;409,530666666667;873;1084;97,940190521085;152,756807248021;718;1096;801;1390;-211;14,3593981829462;25,1217527328899;31,1935623853982;3055,46933333333
"375";1985;"Goiás";"Centro_Oeste";470;1020;5633;21274;2194,31566666667;3567719;NA;NA;3169;0,0301112389719985;0,21906976744186;0,065272982994502;180,376666666667;222,274333333333;504,684333333333;873;1155;108,959095813613;182,156244960728;701;1111;811;1516;-282;13,1736832413091;24,4694158928996;32,3736258376851;3349,31566666667
"376";1986;"Goiás";"Centro_Oeste";513;591;5421;21657;2681,32833333333;3657128;NA;NA;3489;0,0316560941060541;0,177302518109693;0,0364599371805136;178,205666666667;104,459333333333;294,671666666667;796;986;101,224906037006;132,87410380523;644;1027;748;1265;-190;14,0274007363155;21,7657134232108;26,9610470292536;3667,32833333333
"377";1987;"Goiás";"Centro_Oeste";595;578;5477;21633;2476,026;3745162;NA;NA;3360;0,036888036145324;0,214157384117858;0,0358358606176889;207,664666666667;124,167333333333;288,974;927;1092;104,802587293609;133,951141867815;763;1172;855;1381;-165;15,887163225516;24,7519332942073;29,1576172138882;3568,026
"378";1988;"Goiás";"Centro_Oeste";721;530;5334;22121;2430,318;3831781;NA;NA;3414;0,0430069096974029;0,250259965337955;0,0316297355253753;233,812666666667;132,676666666667;262,682;1087;1217;110,566345958019;135,522615940536;916;1334;977;1507;-130;18,8163154418272;28,3680095496063;31,7606877846098;3647,318
"379";1989;"Goiás";"Centro_Oeste";810;303;3723;18712;2267,21366666667;3917039;NA;NA;3229;0,0541027351567712;0,277075503928937;0,0202801867911941;204,257333333333;83,7153333333333;151,786333333333;1098;1166;87,3492981436273;96,8693879372047;960;1302;1004;1377;-68;20,6788852498022;28,0313777830652;29,7673829645301;3433,21366666667
"380";1990;"Goiás";"Centro_Oeste";681;109;2441;15351;1551,35666666667;3999473;NA;NA;2287;0,0528231740376423;0,312987608994952;0,00851986678026489;130,675;34,207;54,6433333333333;846;866;55,5275713472737;57,6088701896713;757;968;772;991;-20;17,02724333931;21,1527868796714;21,6528527633516;2417,35666666667
"381";1991;"Goiás";"Centro_Oeste";852;193;2745;17917;1990,698;4073206;NA;NA;2940;0,0562182824754498;0,310407569141194;0,0127858696368549;153,112666666667;59,7216666666667;97,302;1065;1102;63,2918228486276;68,8449896198274;964;1205;984;1250;-37;20,9171841542019;26,1464801927523;27,0548555609512;3092,698
"382";1992;"Goiás";"Centro_Oeste";828;159;3092;19877;2041,14166666667;4180857;NA;NA;2948;0,0493863934230907;0,297132616487455;0,00953175265101871;154,848333333333;47,0443333333333;78,8583333333333;1030;1062;69,7121922105678;73,5189383786404;921;1192;942;1227;-32;19,8045520332315;24,6360973360246;25,4014906513186;3103,14166666667
"383";1993;"Goiás";"Centro_Oeste";734;336;3126;20535;2217,007;4287901;NA;NA;3118;0,0422171165996554;0,264103485447359;0,0193566915565767;132,779666666667;89,204;166,993;956;1034;66,6132607573382;82,3613468202099;855;1112;890;1212;-78;17,1179325268937;22,2952908660904;24,1143627149974;3251,007
"384";1994;"Goiás";"Centro_Oeste";774;615;3507;21972;2398,25666666667;4395236;NA;NA;3479;0,0419690241524965;0,270506108202443;0,0333586050037908;153,504666666667;167,055333333333;306,743333333333;1095;1234;78,2646462434809;117,346713828788;966;1272;1015;1471;-139;17,6099758920795;24,9133379868567;28,075853037243;3632,25666666667
"385";1995;"Goiás";"Centro_Oeste";784;796;4096;22714;2467,79033333333;4502511;NA;NA;3652;0,0421612331489339;0,274763738186909;0,0428057360760513;180,706666666667;219,18;400,209666666667;1184;1365;94,893192914856;150,016755760454;1030;1400;1083;1667;-181;17,4125060438498;26,2964376988751;30,3164167727741;3832,79033333333
"386";1996;"Goiás";"Centro_Oeste";782;749;2796;21573;2240,15633333333;4609970;NA;NA;3397;0,0416977313877942;0,295583238958097;0,0399403557354351;121,454666666667;221,298666666667;374,843666666667;1125;1278;68,8378144902215;127,371861862371;1012;1276;1031;1516;-153;16,963234034061;24,4036295247041;27,7225231400638;3518,15633333333
"387";1997;"Goiás";"Centro_Oeste";744;830;2784;23217;2582,18333333333;4717800;NA;NA;3740;0,0364588431046295;0,255925798694607;0,0406675149261035;106,882;213,008333333333;413,816666666667;1064;1265;65,9096072814848;139,805163326633;951;1208;993;1536;-201;15,7700623171817;22,5528848191954;26,8133452032727;3847,18333333333
"388";1998;"Goiás";"Centro_Oeste";704;891;2703;23572;2411,13933333333;4826316;NA;NA;3563;0,03378054623862;0,26374859708193;0,0427407762338285;95,8536666666667;235,203333333333;447,860666666667;1035;1248;66,3545933729326;143,374912437268;919;1177;974;1523;-213;14,5866951107221;21,4449281812463;25,8582322417347;3659,13933333333
"389";1999;"Goiás";"Centro_Oeste";853;759;2738;23650;2484,932;4936113;NA;NA;3716;0,0408358437335629;0,288708586883029;0,0363410318940372;114,715333333333;219,258;378,068;1187;1346;66,8193202804633;128,994765806307;1069;1329;1105;1600;-159;17,2808037417296;24,0472614788195;27,2684195033623;3830,932
"390";2000;"Goiás";"Centro_Oeste";1085;228;1914;23175;2451,851;5142445;NA;NA;3650;0,0510770388486502;0,31726555652936;0,0107703884865017;99,774;72,1836666666667;113,149;1257;1298;44,3202959989518;55,0183309747556;1184;1358;1196;1416;-41;21,0989130656721;24,4436255516588;25,2409116675045;3749,851
"391";2001;"Goiás";"Centro_Oeste";1167;141;1854;23921;2485,46833333333;5253910;NA;NA;3723;0,0529273155700562;0,32598381244767;0,00643465651622259;98,0913333333333;46,1996666666667;70,5316666666667;1311;1336;42,9616521274245;47,3462363132595;1244;1409;1257;1439;-25;22,2120287557267;24,9528446433228;25,4286807349193;3821,46833333333
"392";2002;"Goiás";"Centro_Oeste";1370;97;1564;25634;2662,28966666667;5363945;NA;NA;4081;0,0569565036766233;0,344040150564617;0,00407128910307008;88,6873333333333;33,4396666666667;48,7103333333333;1492;1507;37,4452077778787;40,1867289738469;1431;1579;1441;1597;-15;25,5409031971804;27,8153485913819;28,0949935168985;4169,28966666667
"393";2003;"Goiás";"Centro_Oeste";1346;92;1550;25697;2585,27566666667;5472469;NA;NA;3977;0,0557810170614544;0,346628924343798;0,00385125062116945;87,739;31,8533333333333;45,7243333333333;1466;1479;36,588491548484;39,2767982127893;1407;1549;1414;1568;-13;24,5958451295019;26,7886396432762;27,0261923822684;4064,27566666667
"394";2004;"Goiás";"Centro_Oeste";1524;99;1562;27545;2736,593;5579832;NA;NA;4310;0,0586899630541872;0,362060778727445;0,00384852216748768;91,49;35,687;49,407;1651;1665;38,93469285572;41,3676220134824;1588;1741;1595;1761;-14;27,3126502733416;29,5887044627867;29,8396080742216;4401,593
"395";2005;"Goiás";"Centro_Oeste";1468;152;1474;26834;2799,41666666667;5686497;NA;NA;4344;0,0579235834549111;0,350345814452659;0,00603288513859864;86,4376666666667;53,2326666666667;76,5833333333333;1608;1631;36,289593982748;42,5552449798114;1549;1688;1557;1723;-23;25,8155416243075;28,2775142587783;28,6819811915842;4430,41666666667
"396";2006;"Goiás";"Centro_Oeste";1509;145;1412;27211;2546,269;5793069;NA;NA;4128;0,0585271317829457;0,379016064257028;0,00565891472868217;82,578;54,9713333333333;72,731;1647;1664;35,3747182290613;40,8194838578442;1590;1729;1594;1753;-17;26,048369180481;28,4305262029505;28,7239803289068;4210,269
"397";2007;"Goiás";"Centro_Oeste";1521;160;1257;28153;2692,647;5896546;NA;NA;4294;0,0565862363832398;0,36807738814994;0,00598579767260289;71,6123333333333;58,9966666666667;80,353;1652;1673;31,7042768837935;39,2557316712507;1599;1721;1603;1756;-21;25,7947618826343;28,0164014662143;28,3725421628187;4365,647
"398";2008;"Goiás";"Centro_Oeste";1792;234;1352;30146;2955,663;5998618;NA;NA;4865;0,0622677548185449;0,387089810017271;0,00816113908664699;83,8893333333333;90,5603333333333;117,337;1966;1993;36,76401316655;49,0566335064473;1905;2049;1903;2095;-27;29,8735475404502;32,7742156610073;33,2243193348868;4948,663
"399";2009;"Goiás";"Centro_Oeste";1902;181;1216;30496;2928,43366666667;6099136;NA;NA;4921;0,0649909497626447;0,40139211136891;0,00621563471192924;79,619;72,7333333333333;90,5663333333333;2054;2072;32,7604529422475;42,0159425857139;1998;2128;1995;2161;-18;31,1847448556648;33,6769011217327;33,9720248900828;5000,43366666667
"400";2010;"Goiás";"Centro_Oeste";1979;160;1441;32656;3220,314;6184917;NA;NA;5279;0,0634290107637109;0,38671875;0,00515761148129165;90,727;61,7046666666667;79,686;2131;2149;37,7441059822726;43,2017734444191;2070;2219;2073;2243;-18;31,9971957586496;34,4547873479951;34,7458179309439;5369,314
"401";2011;"Goiás";"Centro_Oeste";2272;113;1410;34154;3213,27366666667;6263998;NA;NA;5542;0,0694151778897542;0,418600368324125;0,00348144754924416;97,6423333333333;47,289;56,7263333333333;2417;2426;37,3366302649566;40,1870014214792;2356;2500;2354;2516;-9;36,2707650928369;38,5855806467371;38,7292588535309;5639,27366666667
"402";2012;"Goiás";"Centro_Oeste";2793;155;728;36000;3500,70133333333;6351217;2864;71;6371;0,079210727752105;0,449412900112594;0,00442264621665296;57,909;69,7363333333333;77,2986666666667;2921;2928;22,9247622989722;31,6591109739062;2881;2971;2869;2993;-7;43,975823846044;45,9911856263138;46,1014007236723;6428,70133333333
"403";2013;"Goiás";"Centro_Oeste";2975;112;609;36254;3543,922;6441772;3019;44;6575;0,0834876283453964;0,46039603960396;0,00317006115693205;51,4686666666667;51,395;56,078;3078;3083;19,9828806330574;25,7209968465807;3042;3120;3035;3136;-5;46,1829446928578;47,7818836183584;47,8595020128002;6626,922
"404";2014;"Goiás";"Centro_Oeste";2887;99;614;37808;3791,19333333333;6535659;2926;39;6728;0,0776448447371959;0,435595776772247;0,00268853340502756;47,3396666666667;43,048;49,8066666666667;2977;2984;18,5827470354812;23,2440318123568;2944;3018;2941;3031;-7;44,1730512561931;45,5501120851011;45,6572168162384;6775,19333333333
"405";2015;"Goiás";"Centro_Oeste";2997;114;738;38854;3553,642;6630429;3046;49;6607;0,0786525697195477;0,46165691407453;0,00301702652359839;58,292;52,6203333333333;56,358;3108;3112;22,4512212065798;27,8529728401119;3070;3159;3061;3171;-4;45,2006951586391;46,8747949793294;46,9351229007957;6665,642
"406";2016;"Goiás";"Centro_Oeste";3036;130;669;38074;3478,594;6720503;3091;55;6579;0,0811901833930385;0,470852713178295;0,00350211196064802;54,1446666666667;61,1726666666667;64,406;3151;3155;21,1465606005003;28,500295703272;3113;3197;3102;3212;-4;45,1751900118191;46,8863714516607;46,94589080609;6633,594
"407";2017;"Goiás";"Centro_Oeste";2901;124;742;39973;3488,92666666667;6805532;2946;45;6452;0,0739702283849918;0,458524253436562;0,00318617455138662;55,127;56,984;62,0733333333333;3013;3018;22,1328858009515;28,5097024584084;2975;3063;2967;3078;-5;42,6270863174253;44,2728062993459;44,3462759413959;6506,92666666667
"408";2018;"Goiás";"Centro_Oeste";2675;166;445;39507;3426,91066666667;6888446;2725;50;6185;0,0685047231395438;0,444518272425249;0,00427514527814044;30,8386666666667;73,749;83,0893333333333;2780;2789;16,3330106522918;29,131444002599;2751;2815;2733;2846;-9;38,8331417565007;40,3574333020829;40,4880868631328;6215,91066666667
"409";2019;"Goiás";"Centro_Oeste";2253;200;641;41025;3475,54433333333;6974736;2334;81;5829;0,0558128017828402;0,400355239786856;0,00497709545623375;36,0883333333333;80,4156666666667;100,455666666667;2370;2390;19,6860991099317;34,3703918891372;2334;2411;2325;2457;-20;32,3022978934256;33,9797807400882;34,2665299446459;5865,54433333333
"410";2020;"Goiás";"Centro_Oeste";2177;258;716;48358;3751,80233333333;7060290;2285;108;6058;0,0457150053523078;0,375452508188243;0,00543626555842411;32,8053333333333;96,5636666666667;129,197666666667;2306;2339;21,8225322385931;42,7161391886298;2267;2353;2257;2423;-33;30,8344274810242;32,6615478967578;33,1289507938059;6090,80233333333
"411";2021;"Goiás";"Centro_Oeste";1812;322;522;60712;3933,276;7133954;1897;85;5905;0,0301207821767374;0,324677650429799;0,0053662507683873;15,967;104,874;159,724;1933;1988;19,9288929093129;49,9383499787441;1896;1973;1894;2084;-55;25,3996591511524;27,0957732556167;27,8667342121914;5921,276
"412";2022;"Goiás";"Centro_Oeste";1687;339;574;47270;4069,41833333333;7201254;1782;95;5926;0,0361479324153586;0,302075876879026;0,00728098164764332;21,024;102,893666666667;169,581666666667;1811;1878;21,6407716025578;54,6742223668464;1770;1856;1775;1978;-67;23,4264754444157;25,148397765167;26,0787912771859;5947,41833333333
"413";2023;"Goiás";"Centro_Oeste";1583;195;513;45041;4143,48066666667;7274463;NA;NA;5824;0,0355723236542478;0,281349911190053;0,00440162590671248;18,5253333333333;54,7643333333333;97,5193333333333;1656;1699;14,7458323969831;31,3140894106912;1630;1687;1639;1759;-43;21,7610564518646;22,7645669515399;23,3556758760062;5842,48066666667
"414";2024;"Goiás";"Centro_Oeste";1354;233;539;47830;4553,727;7350483;NA;NA;6023;0,0286517804279794;0,233983767915731;0,00494798274549607;15,613;54,617;115,273;1424;1485;14,9464900848087;36,9490200234535;1397;1457;1416;1557;-61;18,4205582136575;19,3728765851169;20,202754023103;6038,727
"415";1979;"Maranhão";"Nordeste";90;130;1251;6062;433,166666666667;3896067;NA;NA;588;0,0189110556940981;0,198257080610022;0,0272236076475478;23,56;25,648;64,8333333333333;139;178;18,4948305097721;26,3865124303112;113;184;129;234;-39;2,31002187590716;3,56770045278995;4,56870993234973;611,166666666667
"416";1980;"Maranhão";"Nordeste";108;181;1487;6694;471,213666666667;3981622;NA;NA;670;0,0209293394777266;0,222448979591837;0,0349462365591398;31,8096666666667;39,894;90,7863333333333;180;231;23,9658918996784;35,4790506968002;145;237;166;305;-51;2,71246240853602;4,52077068089336;5,80165570714648;702,213666666667
"417";1981;"Maranhão";"Nordeste";145;10;1546;6909;564,012666666667;4076237;NA;NA;714;0,0272184936614467;0,20709219858156;0,00205070842654735;42,068;2,06633333333333;4,98733333333333;189;192;25,7439158693917;25,7543659860745;153;251;156;253;-3;3,55720239034188;4,63662932258355;4,71022661341821;756,012666666667
